"Josel Berger","Q11728402"
"Joselis Kaganeumanas","Q2907349"
"Jozef Szlomo Kahaneman","Q2907349"
"Julius Beinortas","Q1712497"
"Julius Dautartas","Q1712555"
"Julius Sabatauskas","Q2689019"
"Julius Veselka","Q172310"
"Juozapas Algirdas Katkus","Q12658363"
"Juozapas Tartilas","Q1119906"
"Juozas Bastys","Q12658458"
"Juozas Baublys","Q16454236"
"Juozas Bergeris","Q11728402"
"Juozas Bernatonis","Q1305783"
"Juozas Bulavas","Q4098683"
"Juozas Dringelis","Q6314500"
"Juozas Galdikas","Q1203809"
"Juozas Gediminas Baranauskas","Q12658511"
"Juozas Imbrasas","Q927471"
"Juozas Janonis (1934)","Q12658543"
"Juozas Janonis","Q12658543"
"Juozas Jaruševičius (1950)","Q1713725"
"Juozas Jaruševičius","Q1713725"
"Juozas Kubilius","Q4981113"
"Juozas Listavičius","Q12658598"
"Juozas Matulevičius (1946)","Q15311392"
"Juozas Matulevičius","Q15311392"
"Juozas Nekrošius","Q1193050"
"Juozas Olekas","Q1376538"
"Juozas Palionis","Q12658635"
"Juozas Purickis","Q11267333"
"Juozas Rimkus (1960)","Q12658659"
"Juozas Rimkus","Q12658659"
"Juozas Varžgalys","Q16454395"
"Juras Požela (1925)","Q4368711"
"Juras Požela","Q3660989"
"Juras Požela","Q4368711"
"Jurate Juozaitiene","Q12659005"
"Jurgis Jurgelis","Q6315084"
"Jurgis Razma","Q1713862"
"Jurgis Utovka","Q11024117"
"Justas Džiugelis","Q27849267"
"Justas Vincas Paleckis","Q179144"
"Justinas Karosas","Q823045"
"Justinas Urbanavičius","Q11729674"
"Juzef Kvetkovskij","Q11730682"
"Józef Kwiatkowski","Q11730682"
"Jūratė Juozaitienė","Q12659005"
"Jūratė Matekonienė","Q1717991"
"Jūzaps Rimkos","Q12658659"
"Karol Śnieżko","Q11736383"
"Karolis Snežko","Q11736383"
"Kazimieras Antanavičius","Q3486532"
"Kazimieras Kuzminskas","Q374996"
"Kazimieras Motieka","Q1737502"
"Kazimieras Saja","Q6381130"
"Kazimieras Starkevičius","Q940498"
"Kazimieras Uoka","Q3277243"
"Kazimieras Venclauskis","Q1737505"
"Kazimieras Vytautas Kryževičius","Q12660182"
"Kazys Bobelis","Q6814885"
"Kazys Grybauskas","Q15728551"
"Kazys Saja","Q6381130"
"Kazys Sivickis","Q15304440"
"Kazys Starkevičius","Q940498"
"Kestutis Lapinskas","Q449357"
"Kestutis Pukas","Q12662091"
"Kipras Bielinis","Q16456423"
"Klemensas Rimšelis","Q12660873"
"Konstantas Ramelis","Q1782645"
"Kristina Miškinienė","Q11748217"
"Krėstėna Miškėnienė","Q11748217"
"Kęstas Komskis","Q1797471"
"Kęstutis Bacvinka","Q27832203"
"Kęstutis Bartkevičius","Q12662030"
"Kęstutis Daukšys","Q922691"
"Kęstutis Dirgėla","Q6454605"
"Kęstutis Gaška","Q12662043"
"Kęstutis Glaveckas","Q556443"
"Kęstutis Jakelis","Q2688962"
"Kęstutis Kriščiūnas","Q1257136"
"Kęstutis Kubertavičius","Q15728323"
"Kęstutis Kuzmickas","Q15241384"
"Kęstutis Lapinskas","Q449357"
"Kęstutis Masiulis","Q1776528"
"Kęstutis Mažeika","Q28371741"
"Kęstutis Povilas Paukštys","Q15727461"
"Kęstutis Pūkas","Q12662091"
"Kęstutis Skamarakas","Q2655532"
"Kęstutis Skrebys","Q1797484"
"Kęstutis Smirnovas","Q6454618"
"Kęstutis Trapikas","Q1741986"
"Kęstutis Čilinskas","Q1797487"
"Laima Andrikienė","Q435717"
"Laima Liucija Andrikienė","Q435717"
"Laima Mogenienė","Q12662294"
"Laimontas Dinius","Q1800728"
"Laimutė Matkevičienė","Q28371206"
"Larisa Dmitrijeva","Q12662500"
"Lauras Stacevičius","Q28934118"
"Laurynas Kasčiūnas","Q28735068"
"Laurynas Mindaugas Stankevičius","Q1376624"
"Laurynas Stankevičius","Q1376624"
"Lazaris Epšteinas","Q9394126"
"Lejb Garfunkel","Q11753852"
"Leokadia Poczykowska","Q4163611"
"Leokadija Počikovska","Q4163611"
"Leon Jankielewicz","Q11754276"
"Leonard Talmont","Q5767027"
"Leonardas Kęstutis Jaskelevičius","Q12662867"
"Leonas Alesionka","Q3461067"
"Leonas Apšega","Q5767049"
"Leonas Jankelevičius","Q11754276"
"Leonas Milčius","Q6526167"
"Levutė Staniuvienė","Q16458534"
"Leyb Gorfinkel","Q11753852"
"Ligitas Kernagis","Q577710"
"Linas Antanas Linkevičius","Q345625"
"Linas Balsys","Q1825682"
"Linas Karalius","Q1599017"
"Linas Linkevicius","Q345625"
"Linas Linkevičius","Q345625"
"Linus Antonius Linkevičius","Q345625"
"Lionginas Sepetys","Q1827290"
"Lionginas Šepetys","Q1827290"
"Liudas Jonaitis","Q16459267"
"Liudas Laikūnas","Q16459270"
"Liudvikas Sabutis","Q546274"
"Liudvikas Simutis","Q6654035"
"Liutauras Kazlavickas","Q11762063"
"Loreta Graužinienė","Q774843"
"Maks Sołowiejczyk","Q9220487"
"Maksas Soloveičikas","Q9220487"
"Manfredas Žymantas","Q11767043"
"Mantas Adomėnas","Q3672488"
